Autoridad Ambiental,Nombre de la estación,Latitud,Longitud,Ubicación,Departamento,Municipio,Tipo de Estación,Variable,Unidades,Tiempo Promedio,Promedio,Número de Excedencias,Representatividad Temporal,Porcentaje de excedencias,Mediana,Percentil 98,Máximo,Mínimo,Días con Excedencias
CAR,15 Bogotá-Mochuelo,4.530213886,-74.14221714,"(4.530213886, -74.14221714)",CUNDINAMARCA,"BOGOTÁ, D.C.",Fija,PM10,ugm3,24,53.5,0,25,0,55,93.2,94,9,0
CAR,16 Mosquera-Villa Deportiva,4.7026875,-74.23194172,"(4.7026875, -74.23194172)",CUNDINAMARCA,MOSQUERA,Fija,NO2,ugm3,24,3.7,0,78,0,4,7,7,1,0
CAR,16 Mosquera-Villa Deportiva,4.7026875,-74.23194172,"(4.7026875, -74.23194172)",CUNDINAMARCA,MOSQUERA,Fija,PM10,ugm3,24,28.8,0,87,0,26,66.1,81,10,0
CAR,16 Mosquera-Villa Deportiva,4.7026875,-74.23194172,"(4.7026875, -74.23194172)",CUNDINAMARCA,MOSQUERA,Fija,PST,ugm3,24,33.5,0,87,0,33,66.9,76,14,0
CAR,17 Madrid-PTAR I,4.724619444,-74.25440833,"(4.724619444, -74.25440833)",CUNDINAMARCA,MADRID,Fija,NO2,ugm3,24,8.2,0,72,0,8.5,14.5,14.7,0.1,0
CAR,17 Madrid-PTAR I,4.724619444,-74.25440833,"(4.724619444, -74.25440833)",CUNDINAMARCA,MADRID,Fija,PM10,ugm3,24,43.5,0,79,0,46.5,77,87,10,0
CAR,17 Madrid-PTAR I,4.724619444,-74.25440833,"(4.724619444, -74.25440833)",CUNDINAMARCA,MADRID,Fija,PST,ugm3,24,50.7,0,79,0,61.5,106.3,109,6,0
CAR,18 Sopó-Briceño,4.943088889,-73.96195833,"(4.943088889, -73.96195833)",CUNDINAMARCA,SOPÓ,Fija,NO2,ugm3,24,11.8,0,86,0,10.9,25,28.6,0.3,0
CAR,18 Sopó-Briceño,4.943088889,-73.96195833,"(4.943088889, -73.96195833)",CUNDINAMARCA,SOPÓ,Fija,PM10,ugm3,24,65.2,9,86,2.88,64,103.3,149,8,9
CAR,19 Tausa,5.187886111,-73.87971111,"(5.187886111, -73.87971111)",CUNDINAMARCA,TAUSA,Fija,NO2,ugm3,24,6.6,0,88,0,6.6,7.5,8.1,5.3,0
CAR,19 Tausa,5.187886111,-73.87971111,"(5.187886111, -73.87971111)",CUNDINAMARCA,TAUSA,Fija,PM10,ugm3,24,54.9,0,88,0,55,61,65,45,0
CARDER,Dosquebradas-Balalaika,4.831314,-75.680569,"(4.831314, -75.680569)",RISARALDA,DOSQUEBRADAS,Fija,PM10,ugm3,24,38.5,0,24,0,39,56.1,60,23,0
CARDER,La Virginia-Cuenca Río Risaralda,4.930789,-75.863733,"(4.930789, -75.863733)",RISARALDA,LA VIRGINIA,Fija,PM10,ugm3,24,23.2,0,24,0,22,44,47,12,0
CARDER,La Virginia-Cuenca Río Risaralda,4.930789,-75.863733,"(4.930789, -75.863733)",RISARALDA,LA VIRGINIA,Fija,PST,ugm3,24,35.1,0,34,0,37,56.6,59,16,0
CARDER,Pereira-CARDER,4.807208,-75.71925,"(4.807208, -75.71925)",RISARALDA,PEREIRA,Fija,PM10,ugm3,24,30,0,50,0,31,43,48,11,0
CARDER,Pereira-Centro Tradicional,4.818333,-75.698889,"(4.818333, -75.698889)",RISARALDA,PEREIRA,Fija,PM10,ugm3,24,30.2,0,27,0,30.5,47,52,9,0
CARDER,Santa Rosa de Cabal,4.863417,-75.630778,"(4.863417, -75.630778)",RISARALDA,SANTA ROSA DE CABAL,Fija,PM10,ugm3,24,37,0,25,0,36.5,56.9,62,16,0
CDMB,Cabecera,7.113131,-73.11047,"(7.113131, -73.11047)",SANTANDER,BUCARAMANGA,Fija,PM10,ugm3,1,41.3,0,61,0,39.5,90.2,145.2,0.1,0
CDMB,Cabecera,7.113131,-73.11047,"(7.113131, -73.11047)",SANTANDER,BUCARAMANGA,Fija,PM10,ugm3,24,41.2,0,60,0,44,68,73,9,0
CDMB,Centro,7.119263,-73.127055,"(7.119263, -73.127055)",SANTANDER,BUCARAMANGA,Fija,CO,mgm3,1,0.8,0,43,0,0.7,1.9,3.3,0.1,0
CDMB,Centro,7.119263,-73.127055,"(7.119263, -73.127055)",SANTANDER,BUCARAMANGA,Fija,CO,mgm3,8,0.8,0,44,0,0.8,1.1,1.3,0.3,0
CDMB,Centro,7.119263,-73.127055,"(7.119263, -73.127055)",SANTANDER,BUCARAMANGA,Fija,NO,ugm3,1,6.3,0,22,0,4,23.5,41.8,1.3,0
CDMB,Centro,7.119263,-73.127055,"(7.119263, -73.127055)",SANTANDER,BUCARAMANGA,Fija,NO2,ugm3,1,12.3,0,45,0,11.8,23,33.4,0.2,0
CDMB,Centro,7.119263,-73.127055,"(7.119263, -73.127055)",SANTANDER,BUCARAMANGA,Fija,NO2,ugm3,24,12.2,0,44,0,12.3,17.2,17.2,5.5,0
CDMB,Ciudadela,7.106365,-73.123611,"(7.106365, -73.123611)",SANTANDER,BUCARAMANGA,Fija,CO,mgm3,1,1.5,0,30,0,1.3,4,16.4,0.1,0
CDMB,Ciudadela,7.106365,-73.123611,"(7.106365, -73.123611)",SANTANDER,BUCARAMANGA,Fija,CO,mgm3,8,1.5,0,30,0,1.3,3.8,8.9,0.3,0
CDMB,Ciudadela,7.106365,-73.123611,"(7.106365, -73.123611)",SANTANDER,BUCARAMANGA,Fija,NO,ugm3,1,51.4,0,42,0,48.6,134.9,326.5,1.3,0
CDMB,Ciudadela,7.106365,-73.123611,"(7.106365, -73.123611)",SANTANDER,BUCARAMANGA,Fija,NO2,ugm3,1,34.9,0,42,0,35.6,62.5,86.8,0.2,0
CDMB,Ciudadela,7.106365,-73.123611,"(7.106365, -73.123611)",SANTANDER,BUCARAMANGA,Fija,NO2,ugm3,24,35.2,0,40,0,36.1,54,59.2,12.4,0
CDMB,Ciudadela,7.106365,-73.123611,"(7.106365, -73.123611)",SANTANDER,BUCARAMANGA,Fija,PM10,ugm3,1,48.1,0,20,0,41.8,91.9,165,4.4,0
CDMB,Ciudadela,7.106365,-73.123611,"(7.106365, -73.123611)",SANTANDER,BUCARAMANGA,Fija,PM10,ugm3,24,47.8,0,20,0,41,86.1,88,17,0
CDMB,Florida,7.070666,-73.106482,"(7.070666, -73.106482)",SANTANDER,FLORIDABLANCA,Fija,O3,ugm3,1,39.6,0,4,0,39.5,56.7,66.3,13,0
CDMB,Florida,7.070666,-73.106482,"(7.070666, -73.106482)",SANTANDER,FLORIDABLANCA,Fija,O3,ugm3,8,39.6,0,4,0,39.8,45.4,47.1,31.9,0
CDMB,Florida,7.070666,-73.106482,"(7.070666, -73.106482)",SANTANDER,FLORIDABLANCA,Fija,PM10,ugm3,1,44.7,0,9,0,24.9,165.3,208.4,0.1,0
CDMB,Florida,7.070666,-73.106482,"(7.070666, -73.106482)",SANTANDER,FLORIDABLANCA,Fija,PM10,ugm3,24,45,0,10,0,45,57.2,62,34,0
CORANTIOQUIA,Campaña Andes 2015,5.655,-75.877778,"(5.655, -75.877778)",ANTIOQUIA,ANDES,Indicativa,PM10,ugm3,24,38.2,0,7,0,33.5,60.5,61,22,0
CORANTIOQUIA,Campaña Angelópolis 2015,6.111389,-75.71,"(6.111389, -75.71)",ANTIOQUIA,ANGELÓPOLIS,Indicativa,PM10,ugm3,24,25,0,9,0,25,37.1,39,14,0
CORANTIOQUIA,Campaña Armenia 2015,6.155833,-75.786667,"(6.155833, -75.786667)",ANTIOQUIA,ARMENIA,Indicativa,PM10,ugm3,24,20,0,7,0,20,30.9,36,12,0
CORANTIOQUIA,Campaña Betulia 2015,6.113889,-75.983889,"(6.113889, -75.983889)",ANTIOQUIA,BETULIA,Indicativa,PM10,ugm3,24,38.2,0,7,0,38.5,51.7,54,20,0
CORANTIOQUIA,Campaña Condordia 2015,6.045556,-75.907778,"(6.045556, -75.907778)",ANTIOQUIA,CONCORDIA,Indicativa,PM10,ugm3,24,44.5,0,7,0,36,74.8,78,26,0
CORANTIOQUIA,Campaña Ebéjico 2015,6.326667,-75.768889,"(6.326667, -75.768889)",ANTIOQUIA,EBÉJICO,Indicativa,PM10,ugm3,24,38.6,0,8,0,33,69.8,72,22,0
