noid,codigo_departamento,nombre_departamento,codigo_municipio,nombre_municipio,zona_postal,codigo_postal,limite_norte,limite_sur,limite_este,limite_oeste,tipo,barrios_contenidos_en_el_codigo_postal,veredas_contenidas_en_el_codigo_postal
2559,54,NORTE DE SANTANDER,54377,LABATECA,5420,542058,RÍO MARGUA,MUNICIPIO CHITAGÁ,MUNICIPIO TOLEDO,MUNICIPIO CHITAGÁ,Rural,Sin Informacion de Barrios,Aguas Caliente- Aposentos-  Canchica-  Cascaro-  Jove-  La Carbonera-  La Chona-  La Compañia-  La Vega-  Paramito-  Pedro Alonso-  Providencia El limoncito-  Sopota-  Tierra Grata-  Valegra-  Venaga
3383,76,VALLE DEL CAUCA,76520,PALMIRA,7635,763531,LIMITE URBANO,CL  31,KR  28,LIMITE URBANO,Urbano,Alfonso Lopez- Berlín- Ciudadela Confaunión- Colombia- Concordia- Cooperativa de Trabajadores De Manuelita- Coronado- El Prado- Emilia- Estonia- Fray Luis Amigo- Industrial- Jorge Eliecer Gaitán- La Benedicta- Las Acacias- Llano Grande- Loreto- Mirriñao-,Sin Informacion de Veredas
2997,68,SANTANDER,68255,EL PLAYON,6875,687507,MUNICIPIO CACHIRA,VIA EL PLAYÓN-EL PINO,RÍO (PERMANENTE),VIA B/MANGA-LA ESPERANZA,Rural,Sin Informacion de Barrios,San Francisco
160,5,ANTIOQUIA,05579,PUERTO BERRIO,534,53428,RÍO SWAN,M. PTO. NARE Y BOLIVAR,MUNICIPIO CIMITARRA,MPIO. MACEO Y CARACOLI,Rural,Sin Informacion de Barrios,Cabañas- Cabecera Municipal-  Caño Baúl-  El Jardín-  Ermitaño-  Grecia-  La Calera-  La Carlota-  Las Flores-  Malena-  Murillo-  Puerto Olaya-  Tierradentro
3109,73,TOLIMA,73026,ALVARADO,7305,730527,Q/DA. LA CAIMA Y M. VENADILLO,MUNICIPIO PIEDRAS,MUNICIPIO PIEDRAS,MUNICIPIO IBAGUÉ,Rural,Sin Informacion de Barrios,La Chumba
3674,99,VICHADA,99524,LA PRIMAVERA,9920,992008,RÍO META Y VÍA LA PRIMAVERA-PTO. CARREÑO,SENDERO (CAMINO DE HERRADURA),MUNICIPIO PUERTO CARREÑO,RÍO META Y VÍA STA. BARBÁRA-CAÑO BRAVO,Rural,Sin Informacion de Barrios,Risaralda Aguas Claras
2207,50,META,50606,RESTREPO,5010,501037,MPIO. SAN JUANITO Y MEDINA,MUNICIPIO VILLAVICENCIO,MPIO. CUMARAL Y RÍO CANEY,MPIO. EL CALVARIO Y VILLAVICENCIO,Rural,Sin Informacion de Barrios,LOS MEDIOS DE HUMEA
2433,52,NARIÑO,52838,TUQUERRES,5255,525520,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,El Socorro- San Jose
1066,17,CALDAS,17042,ANSERMA,1770,177088,Q/DA. EL MANZANO Y RÍO (PERMANENTE),MPIO. RISARALDA Y PALESTINA,MPIO. NEIRA Y MANIZALES,VÍA ANSERMA-RISARALDA,Rural,Sin Informacion de Barrios,Betania- Guamito-  La Trinidad
1694,25,CUNDINAMARCA,25307,GIRARDOT,2524,252431,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,CL 29-KR 10-AK FERR,Urbano,Alameda- Alcatraz I- Alcatraz II- Alicante I- Alicante II- Altos de Alcatraz- Altos de Chicalá- Altos del Peñón- Balcones II- Bavaria- Blanco- Bosques del Norte- Brisas del Bogotá- Colsubsidio (El Corozo)- Diamante- Diamante Popular- El Cedrito- El Cedro-,Cabecera Municipal- GUABINAL PLAN-  Manuel del Sur-  MANUEL DEL SUR-  Tetilla
