Fecha,Hora,M/T,Intervalo,Temperatura (°C),Humedad (%),Presión Realtiva(hpa),Presión Absoluta(hpa),Velocidad del viento(km/h),Ráfagas(km/h),Dirección del viento,Punto de rocio(°C),Temperatura del aire(°C),Precipitación en la ultima hora(mm),Precipitación en 24 horas (mm),Precipitación semanalmm),Precipitación mensualmm),Precipitación total(mm),Luz(lux)
03/01/2016 12:00:00 AM,04:52:47,PM,30,208,82,1014.3,902.9,3.6,5,SE,17.6,20.8,0,0,0,153,3246,0.0
03/01/2016 12:00:00 AM,05:22:47,PM,30,203,83,1014,902.6,1.1,3.6,E,17.3,20.3,0,0,0,153,3246,0.0
03/01/2016 12:00:00 AM,05:52:47,PM,30,203,83,1014,902.6,2.5,3.6,SE,17.3,20.3,0,0,0,153,3246,0.0
03/01/2016 12:00:00 AM,06:22:47,PM,30,202,84,1013.6,902.2,0,0,E,17.4,20.2,0,0,0,153,3246,0.0
03/01/2016 12:00:00 AM,06:52:47,PM,30,203,84,1013.3,901.9,0,0,ESE,17.5,20.3,0,0,0,153,3246,0.0
03/01/2016 12:00:00 AM,07:22:47,PM,30,206,83,1012.8,901.4,0,0,S,17.6,20.6,0,0,0,153,3246,0.0
03/01/2016 12:00:00 AM,07:52:47,PM,30,207,82,1012.7,901.3,0,0,S,17.5,20.7,0,0,0,153,3246,0.0
03/01/2016 12:00:00 AM,08:22:47,PM,30,207,82,1012.1,900.7,1.1,3.6,SE,17.5,20.7,0,0,0,153,3246,0.0
03/01/2016 12:00:00 AM,08:52:47,PM,30,199,84,1011.7,900.3,0,2.5,NE,17.1,19.9,0,0,0,153,3246,0.0
03/01/2016 12:00:00 AM,09:22:47,PM,30,201,83,1011.9,900.5,0,1.1,NW,17.1,20.1,0,0,0,153,3246,0.0
03/01/2016 12:00:00 AM,09:52:47,PM,30,195,85,1012.2,900.8,1.1,2.5,S,16.9,19.5,0,0,0,153,3246,0.0
03/01/2016 12:00:00 AM,10:22:47,PM,30,193,87,1012.4,901,1.1,2.5,SE,17.1,19.3,0,0,0,153,3246,0.0
03/01/2016 12:00:00 AM,10:52:47,PM,30,184,87,1012.7,901.3,2.5,3.6,E,16.2,18.4,0,0,0,153,3246,0.0
03/01/2016 12:00:00 AM,11:22:47,PM,30,192,87,1013,901.6,0,0,NE,17,19.2,0,0,0,153,3246,0.0
03/01/2016 12:00:00 AM,11:52:47,PM,30,189,87,1013.5,902.1,1.1,3.6,SE,16.7,18.9,0,0,0,153,3246,0.0
04/01/2016 12:00:00 AM,12:22:47,AM,30,195,86,1013.4,902,0,2.5,W,17.1,19.5,0,0,0,153,3246,294907.5
04/01/2016 12:00:00 AM,12:52:47,AM,30,197,83,1013.4,902,0,1.1,S,16.8,19.7,0,0,0,153,3246,--.-
04/01/2016 12:00:00 AM,01:22:47,AM,30,201,83,1013.8,902.4,0,1.1,SE,17.1,20.1,0,0,0,153,3246,--.-
04/01/2016 12:00:00 AM,01:52:47,AM,30,218,78,1013.8,902.4,0,1.1,SE,17.8,21.8,0,0,0,153,3246,--.-
04/01/2016 12:00:00 AM,02:22:47,AM,30,235,72,1014,902.6,1.1,2.5,NW,18.2,23.5,0,0,0,153,3246,--.-
04/01/2016 12:00:00 AM,02:52:47,AM,30,245,66,1014,902.6,0,1.1,NE,17.8,24.5,0,0,0,153,3246,--.-
04/01/2016 12:00:00 AM,03:22:47,AM,30,245,68,1013.7,902.3,12.2,15.8,NE,18.2,23.1,0,0,0,153,3246,--.-
04/01/2016 12:00:00 AM,03:52:47,AM,30,243,69,1013.7,902.3,7.2,8.6,N,18.3,23.9,0,0,0,153,3246,--.-
04/01/2016 12:00:00 AM,04:22:47,AM,30,25,68,1013.5,902.1,12.2,17.3,W,18.7,23.7,0,0,0,153,3246,--.-
04/01/2016 12:00:00 AM,04:52:47,AM,30,257,65,1013.1,901.7,7.2,11.2,N,18.7,25.3,0,0,0,153,3246,--.-
04/01/2016 12:00:00 AM,05:22:47,AM,30,258,65,1012.4,901,5,9.7,N,18.8,25.8,0,0,0,153,3246,47132.1
04/01/2016 12:00:00 AM,05:52:47,AM,30,265,62,1012,900.6,11.2,15.8,NNW,18.7,25.6,0,0,0,153,3246,--.-
04/01/2016 12:00:00 AM,06:22:47,AM,30,269,61,1011.2,899.8,1.1,2.5,N,18.8,26.9,0,0,0,153,3246,--.-
04/01/2016 12:00:00 AM,06:52:47,AM,30,275,59,1010.8,899.4,9.7,14.8,S,18.8,26.9,0,0,0,153,3246,--.-
04/01/2016 12:00:00 AM,07:22:47,AM,30,277,58,1010,898.6,12.2,15.8,W,18.7,26.8,0,0,0,153,3246,--.-
04/01/2016 12:00:00 AM,07:52:47,AM,30,279,57,1009.5,898.1,13.3,15.8,NW,18.6,27,0,0,0,153,3246,--.-
04/01/2016 12:00:00 AM,08:22:47,AM,30,202,90,1013.9,902.5,3.6,5,N,18.5,20.2,0,0,0,153,3246,283672.5
04/01/2016 12:00:00 AM,08:52:47,AM,30,212,84,1013.6,902.2,3.6,5,N,18.4,21.2,0,0,0,153,3246,185293.2
04/01/2016 12:00:00 AM,09:22:47,AM,30,219,81,1013.7,902.3,8.6,13.3,NW,18.5,20.9,0,0,0,153,3246,--.-
04/01/2016 12:00:00 AM,09:52:47,AM,30,229,78,1013.3,901.9,5,8.6,W,18.9,22.9,0,0,0,153,3246,--.-
04/01/2016 12:00:00 AM,10:22:47,AM,30,234,75,1012.9,901.5,5,6.1,N,18.7,23.4,0,0,0,153,3246,--.-
04/01/2016 12:00:00 AM,10:52:47,AM,30,244,72,1012.4,901,6.1,8.6,N,19.1,24.4,0,0,0,153,3246,--.-
04/01/2016 12:00:00 AM,11:22:47,AM,30,245,71,1012,900.6,5,7.2,N,18.9,24.5,0,0,0,153,3246,--.-
04/01/2016 12:00:00 AM,11:52:47,AM,30,252,70,1011.5,900.1,6.1,11.2,NE,19.4,25.2,0,0,0,153,3246,112974.3
04/01/2016 12:00:00 AM,12:22:47,PM,30,251,69,1011.2,899.8,2.5,5,NE,19,25.1,0,0,0,153,3246,316286.4
04/01/2016 12:00:00 AM,12:52:47,PM,30,248,71,1010.7,899.3,3.6,5,NW,19.2,24.8,0,0,0,153,3246,--.-
04/01/2016 12:00:00 AM,01:22:47,PM,30,255,67,1010.2,898.8,3.6,6.1,NW,19,25.5,0,0,0,153,3246,--.-
04/01/2016 12:00:00 AM,01:52:47,PM,30,251,67,1009.9,898.5,3.6,8.6,E,18.6,25.1,0,0,0,153,3246,--.-
04/01/2016 12:00:00 AM,02:22:47,PM,30,247,70,1009.5,898.1,1.1,2.5,SE,18.9,24.7,0,0,0,153,3246,--.-
04/01/2016 12:00:00 AM,02:52:47,PM,30,244,71,1009.4,898,5,8.6,W,18.8,24.4,0,0,0,153,3246,--.-
04/01/2016 12:00:00 AM,03:22:47,PM,30,239,74,1009.5,898.1,2.5,6.1,SW,19,23.9,0,0,0,153,3246,--.-
04/01/2016 12:00:00 AM,03:52:47,PM,30,237,75,1009.7,898.3,3.6,6.1,W,19,23.7,0,0,0,153,3246,--.-
04/01/2016 12:00:00 AM,04:22:47,PM,30,237,75,1010.1,898.7,6.1,9.7,NW,19,23.7,0,0,0,153,3246,--.-
04/01/2016 12:00:00 AM,04:52:47,PM,30,233,76,1010.5,899.1,2.5,5,NW,18.9,23.3,0,0,0,153,3246,--.-
04/01/2016 12:00:00 AM,05:22:47,PM,30,232,76,1011,899.6,0,1.1,N,18.8,23.2,0,0,0,153,3246,308014.5
04/01/2016 12:00:00 AM,05:52:47,PM,30,23,77,1011.4,900,2.5,7.2,NW,18.8,23,0,0,0,153,3246,0.0
